"Artist_01","Artist_01_Tags","Artist_02","Artist_02_Tags","Song_Title","Collaboration_Status","Release_Year","Region","MB_Rating_Value","MB_Rating_Votes","Peak_Chart_Position"
"Jay-Z","boom bap, chipmunk soul, east coast hip hop, hardcore hip hop, hip hop, pop","Rihanna","contemporary r&b, dance, dance-pop, dancehall, electro house, electropop","Umbrella (Seamus Haji club remix)","Failure","2007","US","","",""
"Frank Ocean","alternative r&b, contemporary r&b, pop, r&b","Kendrick Lamar","alternative hip hop, conscious hip hop, hardcore hip hop, hip hop, jazz rap, pop","Bend Ya Neck","Failure","2013","US","","",""
"Frank Ocean","alternative r&b, contemporary r&b, pop, r&b","Kendrick Lamar","alternative hip hop, conscious hip hop, hardcore hip hop, hip hop, jazz rap, pop","Bend Ya","Failure","2017","US","","",""
"Imagine Dragons","alternative pop, alternative rock, electropop, indie pop, indietronica, pop","Kendrick Lamar","alternative hip hop, conscious hip hop, hardcore hip hop, hip hop, jazz rap, pop","Radioactive","Failure","2014","US","","",""
"Kendrick Lamar","alternative hip hop, conscious hip hop, hardcore hip hop, hip hop, jazz rap, pop","The Chainsmokers","dance-pop, edm, electro house, electronic, electropop, future bass","Chart Mix: November 2016: All We Know / Starboy / The Greatest / Cool Girl / Blow Your Mind (Mwah) / 24K Magic","Failure","2016","US","","",""
"Kendrick Lamar","alternative hip hop, conscious hip hop, hardcore hip hop, hip hop, jazz rap, pop","Skrillex","brostep, complextro, drumstep, dubstep, edm, electro house","HUMBLE. (Skrillex remix)","Failure","","US","","",""
"J. Cole","easy listening, jazz, pop, r&b, swing, traditional pop","Travis Scott","experimental hip hop, hip hop, pop rap, southern hip hop, trap","The London","Failure","2019","US","","",""
"J. Cole","easy listening, jazz, pop, r&b, swing, traditional pop","Travis Scott","experimental hip hop, hip hop, pop rap, southern hip hop, trap","Butterfly Effect","Failure","2019","US","","",""
"J. Cole","easy listening, jazz, pop, r&b, swing, traditional pop","Nicki Minaj","east coast hip hop, electronic, hip hop, pop, pop rap, r&b","Let Me Calm Down","Success","2023","US","","",""
"J. Cole","easy listening, jazz, pop, r&b, swing, traditional pop","Lil Wayne","gangsta rap, hip hop, pop, pop rap, r&b, rap rock","Green Ranger","Failure","2012","US","","",""
"Future","hip hop, southern hip hop, trap","J. Cole","easy listening, jazz, pop, r&b, swing, traditional pop","Red Leather","Success","2024","US","","",""
"21 Savage","gangsta rap, hip hop, pop rap, southern hip hop, trap","J. Cole","easy listening, jazz, pop, r&b, swing, traditional pop","m y . l i f e","Failure","2021","US","","",""
"J. Cole","easy listening, jazz, pop, r&b, swing, traditional pop","Metro Boomin","hip hop, trap","Red Leather","Success","2024","US","","",""
"Beyoncé","alternative r&b, americana, contemporary r&b, country, dance, dance-pop","J. Cole","easy listening, jazz, pop, r&b, swing, traditional pop","Party (remix)","Failure","2012","US","","",""
"Coldplay","alternative rock, art pop, britpop, dream pop, piano rock, pop","J. Cole","easy listening, jazz, pop, r&b, swing, traditional pop","She Knows / Hymn for the Weekend","Failure","","UK","","",""
"J. Cole","easy listening, jazz, pop, r&b, swing, traditional pop","Rita Ora","contemporary r&b, dance-pop, electropop, pop, pop rock","Love and War","Failure","2012","US","","",""
"Post Malone","alternative r&b, cloud rap, contemporary r&b, country, hip hop, pop rap","Travis Scott","experimental hip hop, hip hop, pop rap, southern hip hop, trap","Take What You Want","Success","2019","US","","",""
"Post Malone","alternative r&b, cloud rap, contemporary r&b, country, hip hop, pop rap","Travis Scott","experimental hip hop, hip hop, pop rap, southern hip hop, trap","Celebrate","Failure","2019","US","","",""
