"Artist_01","Artist_02"
"Elis Regina","Ennio Morricone"
"Faithless","Wizkid"
"Big Hop","The Kinks"
"Lost Frequencies","Nat King Cole"
"Bob Dylan","Mo Kogun"
"Roy Orbison","Tekno Miles"
"Bruce Springsteen","HOP-PAS"
"H.E.R.","Sash!"
"Big Hop","The Smashing Pumpkins"
"HOP CLUB","Los Fabulosos Cadillacs"
"Ella Fitzgerald","Lass"
"Foo Fighters","I-Hop"
"Nine Inch Nails","Scorpions"
"Jax Jones","Nick Skitz"
"G‐Eazy","Jessie J"
"Don Omar","Peter Gabriel"
"Mo Kogun","Tego Calderón"
"B.B. King","Yemi Alade"
"Guns N’ Roses","川井憲次"
"Elliott Smith","Shania Twain"
"Faithless","The Who"
"Rocío Dúrcal","Trébol Clan"
"Drake","The Brighton Beat"
"Funky DL","Z‐Ro"
"Carly Simon","Sonny Rollins"
"Elis Regina","鷺巣詩郎"
"Andrew Bird","Carpenters"
"Beck","Dream Theater"
"BTS","RKM & Ken‐Y"
"Céline Dion","Radiohead"
"Above & Beyond","Aerosmith"
"Red Hot Chili Peppers","Tryt"
"John Dahlbäck","Libianca"
"Garry Mapanzure","Sheylex Marvin"
"Crayon","Sidney Bechet"
"Ludacris","Stray Kids"
"Electric Light Orchestra","Johnny Cash"
"Chuck Berry","YoungBoy Never Broke Again"
"Marvin Gaye","Money Boy"
"Juice WRLD","TWICE"
"Billie Eilish","Rocío Jurado"
"Mo Kogun","T.I."
"Rocío Dúrcal","Usher"
"Asake","Ife Alaba"
"King Promise","RKM & Ken‐Y"
"Coach Hop","The E Street Band"
"George Jones","Ricky Martin"
"Anitta","Doja Cat"
"Eminem","JAY‐Z"
"Billie Jo Spears","Phish"
"Niniola","Wasteland Hop"
"Becca","Whitney Houston"
"Garry Mapanzure","Hop-Frog"
"Lass","Metallica"
"Bob Wills and His Texas Playboys","Martin Solveig"
"Maphya","Paul McCartney"
"Carly Simon","Lapsanova"
"Beck","Grupo Niche"
"Charlie Rich","Farruko"
"Hop Along","Nanky"
"Américo Gomes","Luke Combs"
"Funky DL","Jerry Lee Lewis"
"Jim Reeves","Los Fabulosos Cadillacs"
"Sash!","The E Street Band"
"Shakira","The Beach Boys"
"Big Hop","Dr kells"
"Aerosmith","Heinäsirkka Hop"
"Daddy Yankee","Santana"
"Weyinmi","Zaytoven"
"Los Tigres del Norte","The Residents"
"Doja Cat","Moby"
"HOP-PAS","Yaga & Mackie"
"Lil Durk","Sheylex Marvin"
"Teni","The Smiths"
"Oasis","Tangerine Dream"
"L king","Libianca"
"Guided by Voices","Specialist"
"Fireboy DML","KO KO FJ"
"Black Sabbath","Lorentz Hop"
"Frank Sinatra","Juan Gabriel"
"CKay","The Kinks"
"Ado","Maleek Berry"
"Carrie Underwood","Jennifer Lopez"
"Dusty Springfield","Slimmz"
"SpaceGhostPurrp","Vivi Ndaya"
"Ace of Base","Mariah Carey"
"Aerosmith","Bee Gees"
"Dusty Springfield","Wilco"
"Julio Iglesias","Tom Jones"
"Astrud Gilberto","SEVENTEEN"
"Nightwish","The Beach Boys"
"Bruce Springsteen","Winner Boy"
"Ladysmith Black Mambazo","Metallica"
"Above & Beyond","Willie Nelson"
"Don Omar","Master KG"
"SpaceGhostPurrp","Tiwa Savage"
"Beastie Boys","Ike & Tina Turner"
"Gloria Estefan","Travis Scott"
"Banky W","Hop Along"
"Dolly Parton","Fryderyk Chopin"
"Jennifer Lopez","Wasteland Hop"
"Ivy Queen","Percy Sledge"
"Paulina Rubio","Thalía"
"Banky W","Peter Gabriel"
"Hop Trop","Maphya"
"Dionne Warwick","Hop-Frog"
"Brint★Hop","Stevie Wonder"
"Hop Trop","Rush"
"Percy Sledge","Wizkid"
"Charlie Rich","Oasis"
"Nanky","Shania Twain"
"Marshmello","The Isley Brothers"
"Dua Lipa","Wasteland Hop"
"Bob Wills and His Texas Playboys","Juls"
"J Balvin","Jessie J"
"Martin Solveig","Phats & Small"
"Marshmello","Merle Haggard"
"Daddy Yankee","Genesis"
"Electric Light Orchestra","KAROL G"
"Bing Crosby","Kygo"
"2 Unlimited","Nat King Cole"
"Louis Armstrong","Santana"
"Aya Nakamura","Cypress Hill"
"Mylène Farmer","Vico C"
"Daryl Hall & John Oates","Peggy Lee"
"Neil Young","Nicky Jam"
"Mariah Carey","Victony"
"Camila Cabello","S3RL"
"Mory Kanté","Truck Stop"
"Fireboy DML","Tekno Miles"
"Banky W","Paul McCartney"
"Jimi Hendrix","NewJeans"
"Little Richard","Rod Wave"
"Cypress Hill","Da Great"
"Maphya","Metro Boomin"
"Drake","Ike & Tina Turner"
"Lightnin’ Hopkins","Usher"
"Ed Sheeran","The Residents"
"Afro B","Olamide"
"Bee Gees","Burna Boy"
"Brymo","Dr kells"
"Hip Hop Kclan","Tina Turner"
"Julio Iglesias","Specialist"
"Paramore","Santana"
"Banky W","Beastie Boys"
"Elis Regina","Muse"
"2Baba","Yandel"
"KAROL G","YoungBoy Never Broke Again"
"José José","Thalía"
"Moby","Wiztom"
