"Artist_01","Artist_02"
"Juice WRLD","TWICE"
"Daddy Yankee","Santana"
"Ed Sheeran","Lil Wayne"
"CKay","Wizkid"
"Arctic Monkeys","Future"
"Rema","twenty one pilots"
"SEVENTEEN","SZA"
"Céline Dion","David Guetta"
"SEVENTEEN","Stevie Wonder"
"Eminem","Paul McCartney"
"Linkin Park","Mariah Carey"
"Bad Bunny","Fireboy DML"
"H.E.R.","The Chainsmokers"
"Post Malone","Zedd"
"Imagine Dragons","Wizkid"
"H.E.R.","Linkin Park"
"Megan Thee Stallion","Shawn Mendes"
"Kygo","twenty one pilots"
"The Chainsmokers","Usher"
"Paul McCartney","SZA"
"J. Cole","Wizkid"
"Paul McCartney","Post Malone"
"Fireboy DML","Imagine Dragons"
"BTS","Post Malone"
"Drake","Eminem"
"BTS","Kygo"
"Billie Eilish","J Balvin"
"Cardi B","J Balvin"
"Calvin Harris","Travis Scott"
"Foo Fighters","Kanye West"
"Linkin Park","Muse"
"SEVENTEEN","Wizkid"
"Avicii","Cardi B"
"Diplo","Lil Wayne"
"Nicky Jam","Usher"
"Rema","Santana"
"Arctic Monkeys","J. Cole"
"Doja Cat","Nicki Minaj"
"Coldplay","SEVENTEEN"
"Imagine Dragons","Santana"
"Dua Lipa","Rema"
"Kanye West","Lady Gaga"
"Imagine Dragons","Marshmello"
"KAROL G","Tiësto"
"Lady Gaga","SZA"
"David Guetta","Marshmello"
"Arctic Monkeys","Usher"
"Avicii","BTS"
"Billie Eilish","SEVENTEEN"
"Juice WRLD","KAROL G"
"SEVENTEEN","The Chainsmokers"
"Elton John","Kendrick Lamar"
"CKay","Foo Fighters"
"BLACKPINK","Justin Bieber"
"Bad Bunny","The Weeknd"
"Mariah Carey","Shawn Mendes"
"KAROL G","Skrillex"
"Calvin Harris","Cardi B"
"Ariana Grande","Skrillex"
"BTS","Foo Fighters"
"Ariana Grande","Mariah Carey"
"TWICE","Zedd"
"Kygo","Zedd"
"BLACKPINK","Santana"
"Ariana Grande","Taylor Swift"
"Kygo","Wizkid"
"Fireboy DML","Zedd"
"J Balvin","Kanye West"
"Justin Bieber","SEVENTEEN"
"Diplo","Doja Cat"
"J. Cole","Usher"
"Camila Cabello","Mariah Carey"
"Daddy Yankee","Tems"
"Ed Sheeran","Stray Kids"
"Kanye West","Shakira"
"Doja Cat","Muse"
"Lil Wayne","Stevie Wonder"
"Calvin Harris","Fireboy DML"
"SEVENTEEN","Usher"
"BTS","NewJeans"
"Bad Bunny","Drake"
"Avicii","Santana"
"Muse","Rema"
"Kanye West","Maluma"
"Drake","Imagine Dragons"
"SEVENTEEN","twenty one pilots"
"Doja Cat","Zedd"
"Coldplay","Nicky Jam"
"Alicia Keys","Megan Thee Stallion"
"Avicii","Shawn Mendes"
"BLACKPINK","Burna Boy"
"Kanye West","Usher"
"BTS","Santana"
"Ariana Grande","Eminem"
"Nicki Minaj","Wizkid"
"Dua Lipa","SZA"
"Burna Boy","Katy Perry"
"Shawn Mendes","Stray Kids"
"Chris Brown","twenty one pilots"
"Avicii","Bad Bunny"
"Chris Brown","Travis Scott"
"Diplo","The Weeknd"
"Fireboy DML","Shakira"
"Faithless","Wizkid"
"H.E.R.","Sash!"
"Foo Fighters","I-Hop"
"Drake","The Brighton Beat"
"BTS","RKM & Ken‐Y"
"Céline Dion","Radiohead"
"Ludacris","Stray Kids"
"Billie Eilish","Rocío Jurado"
"Rocío Dúrcal","Usher"
"Anitta","Doja Cat"
"Eminem","JAY‐Z"
"Maphya","Paul McCartney"
"Shakira","The Beach Boys"
"Doja Cat","Moby"
"Fireboy DML","KO KO FJ"
"CKay","The Kinks"
"Ace of Base","Mariah Carey"
"Astrud Gilberto","SEVENTEEN"
"Gloria Estefan","Travis Scott"
"Brint★Hop","Stevie Wonder"
"Percy Sledge","Wizkid"
"Marshmello","The Isley Brothers"
"Dua Lipa","Wasteland Hop"
"J Balvin","Jessie J"
"Marshmello","Merle Haggard"
"Daddy Yankee","Genesis"
