"Artist_01","Artist_02"
"The Weeknd","Stray Kids"
"Taylor Swift","Frank Ocean"
"Kendrick Lamar","Daddy Yankee"
"Kanye West","Coldplay"
"Halsey","J Balvin"
"Shawn Mendes","Daddy Yankee"
"The Weeknd","21 Savage"
"Diplo","Karol G"
"Dua Lipa","21 Savage"
"Beyoncé","Avicii"
"Taylor Swift","BLACKPINK"
"Taylor Swift","Shakira"
"Dua Lipa","J Balvin"
"Halsey","Frank Ocean"
"Drake","Twenty One Pilots"
"Calvin Harris","Avicii"
"Taylor Swift","Linkin Park"
"J Balvin","Maluma"
"Miley Cyrus","Kacey Musgraves"
"Diplo","Maluma"
"Beyoncé","Fall Out Boy"
"Halsey","Foo Fighters"
"Frank Ocean","Shakira"
"Sam Smith","Rita Ora"
"Kendrick Lamar","Rita Ora"
"Ariana Grande","21 Savage"
"Lady Gaga","J. Cole"
"Beyoncé","Martin Garrix"
"Nicki Minaj","Twenty One Pilots"
"Kendrick Lamar","Ellie Goulding"
