Artist_01,Artist_02
Ariana Grande,Taylor Swift
Ariana Grande,Selena Gomez
Ariana Grande,Billie Eilish
Ariana Grande,Shawn Mendes
Ariana Grande,Camila Cabello
Ariana Grande,Katy Perry
Ariana Grande,Halsey
Ariana Grande,Drake
Ariana Grande,Kanye West
Ariana Grande,Jay-Z
Ariana Grande,Kendrick Lamar
Ariana Grande,J. Cole
Ariana Grande,Travis Scott
Ariana Grande,Post Malone
Ariana Grande,Cardi B
Ariana Grande,21 Savage
Ariana Grande,Metro Boomin
Ariana Grande,Snoop Dogg
Ariana Grande,Eminem
Ariana Grande,Beyoncé
Ariana Grande,SZA
Ariana Grande,H.E.R.
Ariana Grande,Frank Ocean
Ariana Grande,Coldplay
Ariana Grande,Imagine Dragons
Ariana Grande,Twenty One Pilots
Ariana Grande,Fall Out Boy
Ariana Grande,Panic! at the Disco
Ariana Grande,Linkin Park
Ariana Grande,Foo Fighters
Ariana Grande,David Guetta
Ariana Grande,The Chainsmokers
Ariana Grande,Marshmello
Ariana Grande,Kygo
Ariana Grande,Avicii
Ariana Grande,Diplo
Ariana Grande,Skrillex
Ariana Grande,Martin Garrix
Ariana Grande,Bad Bunny
Ariana Grande,Shakira
Ariana Grande,Daddy Yankee
Ariana Grande,Ozuna
Ariana Grande,Maluma
Ariana Grande,Karol G
Ariana Grande,Luis Fonsi
Ariana Grande,Nicky Jam
Ariana Grande,BTS
Ariana Grande,BLACKPINK
Ariana Grande,Stray Kids
Ariana Grande,Kacey Musgraves
Ariana Grande,Maren Morris
Ariana Grande,Sam Smith
Taylor Swift,Justin Bieber
Taylor Swift,Selena Gomez
Taylor Swift,Dua Lipa
Taylor Swift,The Weeknd
Taylor Swift,Billie Eilish
Taylor Swift,Lady Gaga
Taylor Swift,Miley Cyrus
Taylor Swift,Halsey
Taylor Swift,Drake
Taylor Swift,Kanye West
Taylor Swift,Jay-Z
Taylor Swift,J. Cole
Taylor Swift,Travis Scott
Taylor Swift,Megan Thee Stallion
Taylor Swift,Cardi B
Taylor Swift,Nicki Minaj
Taylor Swift,Lil Wayne
Taylor Swift,21 Savage
Taylor Swift,Metro Boomin
Taylor Swift,Snoop Dogg
Taylor Swift,Eminem
Taylor Swift,Rihanna
Taylor Swift,SZA
Taylor Swift,H.E.R.
Taylor Swift,Frank Ocean
Taylor Swift,Coldplay
Taylor Swift,Imagine Dragons
